#Z,A,Symbol,Name,Chem. Weight,Atomic Mass,Abundance,Radioactive?,Half-life,Decay Modes
0,1,n,neutron,1.008655,1.007980,,1,6.240000E+02,B-
1,1,H,Hydrogen,1.007980,1.007825,99.985000,0,,
1,2,D,Deuterium,1.007980,2.014102,0.015000,0,,
1,3,T,Tritium,1.007980,3.016049,,1,3.891052E+08,
2,3,He,Helium,4.002600,3.016029,0.000140,0,,
2,4,He,Helium,4.002600,4.002602,99.999860,0,,
2,6,He,Helium,4.002600,6.018886,,1,8.100000E-01,B-
2,8,He,Helium,4.002600,8.033922,,1,1.200000E-01,B-
3,6,Li,Lithium,6.941000,6.015121,7.500000,0,,
3,7,Li,Lithium,6.941000,7.016003,92.500000,0,,
3,8,Li,Lithium,6.941000,8.022486,,1,8.400000E-01,B-
3,9,Li,Lithium,6.941000,9.026789,,1,1.800000E-01,B-
3,11,Li,Lithium,6.941000,11.043897,,1,8.700000E-03,B-
4,7,Be,Beryllium,9.012200,7.016928,,1,4.605120E+06,EC
4,9,Be,Beryllium,9.012200,9.012174,100.000000,0,,
4,10,Be,Beryllium,9.012200,10.013534,,1,4.733600E+13,B-
4,11,Be,Beryllium,9.012200,11.021657,,1,1.380000E+01,B-
4,12,Be,Beryllium,9.012200,12.026921,,1,2.360000E-02,B-
4,14,Be,Beryllium,9.012200,14.012866,,1,4.300000E-03,B-
5,8,B,Boron,10.811000,8.024605,,1,7.700000E-01,B+
5,10,B,Boron,10.811000,10.012936,19.900000,0,,
5,11,B,Boron,10.811000,11.009305,80.100000,0,,
5,12,B,Boron,10.811000,12.014352,,1,2.020000E-02,B-
5,13,B,Boron,10.811000,13.017780,,1,1.740000E-02,B-
5,14,B,Boron,10.811000,14.025404,,1,1.380000E-02,B-
5,15,B,Boron,10.811000,15.031100,,1,1.030000E-02,B-
6,9,C,Carbon,12.011000,9.031030,,1,1.300000E-01,B+
6,10,C,Carbon,12.011000,10.016854,,1,1.930000E+01,B+
6,11,C,Carbon,12.011000,11.011433,,1,1.224000E+03,B+
6,12,C,Carbon,12.011000,12.000000,98.900000,0,,
6,13,C,Carbon,12.011000,13.003355,1.100000,0,,
6,14,C,Carbon,12.011000,14.003242,,1,1.808300E+11,B-
6,15,C,Carbon,12.011000,15.010599,,1,2.450000E+00,B-
6,16,C,Carbon,12.011000,16.014701,,1,7.500000E-01,B-
6,17,C,Carbon,12.011000,17.022582,,1,2.000000E-01,B-
7,12,N,Nitrogen,14.006700,12.018613,,1,1.100000E-02,B+
7,13,N,Nitrogen,14.006700,13.005738,,1,5.976000E+02,B+
7,14,N,Nitrogen,14.006700,14.003074,99.630000,0,,
7,15,N,Nitrogen,14.006700,15.000108,0.370000,0,,
7,16,N,Nitrogen,14.006700,16.006100,,1,7.130000E+00,B-
7,17,N,Nitrogen,14.006700,17.008450,,1,4.170000E+00,B-
7,18,N,Nitrogen,14.006700,18.014082,,1,6.200000E-01,B-
7,19,N,Nitrogen,14.006700,19.017038,,1,2.400000E-01,B-
8,13,O,Oxygen,15.999400,13.024813,,1,8.600000E-03,B+
8,14,O,Oxygen,15.999400,14.008595,,1,7.060000E+01,B+
8,15,O,Oxygen,15.999400,15.003065,,1,1.220000E+02,B+
8,16,O,Oxygen,15.999400,15.994915,99.710000,0,,
8,17,O,Oxygen,15.999400,16.999132,0.039000,0,,
8,18,O,Oxygen,15.999400,17.999160,0.200000,0,,
8,19,O,Oxygen,15.999400,19.003577,,1,2.690000E+01,B-
8,20,O,Oxygen,15.999400,20.004076,,1,1.360000E+01,B-
8,21,O,Oxygen,15.999400,21.008595,,1,3.400000E+00,B-
9,17,F,Fluorine,18.998400,17.002094,,1,6.450000E+01,B+
9,18,F,Fluorine,18.998400,18.000937,,1,6.534000E+03,B+
9,19,F,Fluorine,18.998400,18.998404,100.000000,0,,
9,20,F,Fluorine,18.998400,19.999982,,1,1.100000E+01,B-
9,21,F,Fluorine,18.998400,20.999950,,1,4.200000E+00,B-
9,22,F,Fluorine,18.998400,22.003036,,1,4.200000E+00,B-
9,23,F,Fluorine,18.998400,23.003564,,1,2.200000E+00,B-
10,18,Ne,Neon,20.180000,18.005710,,1,1.670000E+00,B+
10,19,Ne,Neon,20.180000,19.001880,,1,1.720000E+01,B+
10,20,Ne,Neon,20.180000,19.992435,90.480000,0,,
10,21,Ne,Neon,20.180000,20.993841,0.270000,0,,
10,22,Ne,Neon,20.180000,21.991383,0.250000,0,,
10,23,Ne,Neon,20.180000,22.994465,,1,3.720000E+01,B-
10,24,Ne,Neon,20.180000,23.993999,,1,2.028000E+02,B-
10,25,Ne,Neon,20.180000,24.997789,,1,6.000000E-01,B-
11,21,Na,Sodium,22.989770,20.997650,,1,2.250000E+01,B+
11,22,Na,Sodium,22.989770,21.994434,,1,8.236534E+07,B+
11,23,Na,Sodium,22.989770,22.989767,100.000000,0,,
11,24,Na,Sodium,22.989770,23.990961,,1,5.385600E+04,B-
11,25,Na,Sodium,22.989770,24.989951,,1,5.910000E+01,B-
11,26,Na,Sodium,22.989770,25.992588,,1,1.070000E+00,B-
12,23,Mg,Magnesium,24.305100,22.994124,,1,1.130000E+01,B+
12,24,Mg,Magnesium,24.305100,23.985042,78.990000,0,,
12,25,Mg,Magnesium,24.305100,24.985838,10.000000,0,,
12,26,Mg,Magnesium,24.305100,25.982594,11.010000,0,,
12,27,Mg,Magnesium,24.305100,26.984341,,1,5.676000E+02,B-
12,28,Mg,Magnesium,24.305100,27.983876,,1,7.524000E+04,B-
12,29,Mg,Magnesium,24.305100,28.375346,,1,1.300000E+00,B-
13,25,Al,Aluminum,26.981540,24.990429,,1,7.180000E+00,B+
13,26,Al,Aluminum,26.981540,25.986892,,1,2.335300E+13,B+
13,27,Al,Aluminum,26.981540,26.981538,100.000000,0,,
13,28,Al,Aluminum,26.981540,27.981910,,1,1.344000E+02,B-
13,29,Al,Aluminum,26.981540,28.980445,,1,3.936000E+02,B-
13,30,Al,Aluminum,26.981540,29.982965,,1,3.600000E+00,B-
14,27,Si,Silicon,28.086000,26.986704,,1,4.160000E+00,B+
14,28,Si,Silicon,28.086000,27.976927,92.230000,0,,
14,29,Si,Silicon,28.086000,28.976495,4.670000,0,,
14,30,Si,Silicon,28.086000,28.973770,3.100000,0,,
14,31,Si,Silicon,28.086000,30.975362,,1,9.432000E+03,B-
14,32,Si,Silicon,28.086000,31.974148,,1,5.427900E+09,B-
14,33,Si,Silicon,28.086000,32.977928,,1,6.130000E+00,B-
15,30,P,Phosphorus,30.973760,29.978307,,1,1.500000E+02,B+
15,31,P,Phosphorus,30.973760,30.973762,100.000000,0,,
15,32,P,Phosphorus,30.973760,31.973908,,1,1.232100E+06,B-
15,33,P,Phosphorus,30.973760,32.971725,,1,2.185900E+06,B-
15,34,P,Phosphorus,30.973760,33.973636,,1,1.243000E+01,B-
16,31,S,Sulfur,32.066000,30.979554,,1,2.570000E+00,B+
16,32,S,Sulfur,32.066000,31.972071,95.020000,0,,
16,33,S,Sulfur,32.066000,32.971459,0.750000,0,,
16,34,S,Sulfur,32.066000,33.967867,4.210000,0,,
16,35,S,Sulfur,32.066000,34.969033,,1,7.560000E+06,B-
16,36,S,Sulfur,32.066000,35.967081,0.020000,0,,
17,34,Cl,Chlorine,35.453000,33.973763,,1,1.932000E+03,B+
17,35,Cl,Chlorine,35.453000,34.968853,75.770000,0,,
17,36,Cl,Chlorine,35.453000,35.968307,,1,9.467300E+12,B-
17,37,Cl,Chlorine,35.453000,36.965903,24.230000,0,,
17,38,Cl,Chlorine,35.453000,37.968010,,1,2.238000E+03,B-
18,36,Ar,Argon,39.948000,35.967547,0.337000,0,,
18,37,Ar,Argon,39.948000,36.966776,,1,3.027500E+06,EC
18,38,Ar,Argon,39.948000,37.962732,0.063000,0,,
18,39,Ar,Argon,39.948000,38.964314,,1,8.489000E+09,B-
18,40,Ar,Argon,39.948000,39.962384,99.600000,0,,
18,42,Ar,Argon,39.948000,41.963049,,1,1.041400E+09,B-
19,39,K,Potassium,39.083000,38.963708,93.258100,0,,
19,40,K,Potassium,39.083000,39.964000,0.011700,1,4.039400E+16,B+:EC:B-
19,41,K,Potassium,39.083000,40.961827,6.730200,0,,
19,42,K,Potassium,39.083000,41.962404,,1,4.464000E+04,B-
19,43,K,Potassium,39.083000,42.960716,,1,8.028000E+04,B-
20,40,Ca,Calcium,40.078000,39.962591,96.941,,,
20,42,Ca,Calcium,40.078000,41.9586183,0.647,,,
20,43,Ca,Calcium,40.078000,42.9587668,0.135,,,
20,44,Ca,Calcium,40.078000,43.9554811,2.086,,,
20,46,Ca,Calcium,40.078000,45.953693,0.004,,,
20,48,Ca,Calcium,40.078000,47.952534,0.187,,,
25,55,Mn,Maganese,54.938045,54.938050,100,,,
26,54,Fe,Iron,55.845000,53.939615,5.8,,,
26,56,Fe,Iron,55.845000,55.934942,91.72,,,
26,57,Fe,Iron,55.845000,56.935399,2.1,,,
26,58,Fe,Iron,55.845000,57.933280,0.28,,,
29,63,Cu,Copper,65.546000,62.929601,69.17,,,
29,65,Cu,Copper,65.546000,64.927794,30.83,,,
30,64,Zn,Zinc,65.409000,63.929147,48.6,,,
30,66,Zn,Zinc,65.409000,65.926037,27.9,,,
30,67,Zn,Zinc,65.409000,66.927131,4.1,,,
30,68,Zn,Zinc,65.409000,67.924848,18.8,,,
30,70,Zn,Zinc,65.409000,69.925325,0.6,,,
32,70,Ge,Germanium,72.640000,69.924250,21.23,,,
32,72,Ge,Germanium,72.640000,71.922076,27.66,,,
